"TYNDP 2024 - General information on transmission projects",,,,,,,,,,,,,,,,,,"Needs addressed by the project",,,,"Expected transfer capacity increase",,,"CBA"
"Project ID","Project Name","Description of the project","Promoters","Country","National development plan(s)","Commissioning Year estimated by the promoter","Status ID
1 : Under Consideration,
2 : In Planning but not permitting,
3 : In permitting,
4 : Under Construction","Is the project cross-border?","Is the project internal?","Type of project - Is it an upgrade of existing infrastructure?","Is the project on the 5th PCI list?","PCI number","Reason for investment clustering","Inclusion in previous TYNDPs","Is the project in the 2030 reference grid?","Is the project in the 2035 reference grid?","Where can one find more information on the project? (ex: project website url)","Needs addressed by the project","Explanation by the promoter on how the project addresses the need","Relevant system needs study results in 2030
(Border - Capacity Increase)","Relevant system needs study results in 2040 (Border or country - Capacity Increase - Storage flexibility)","Border","Transfer capacity increase A-B (MW)","Transfer capacity increase B-A (MW)","Comments on CBA results by the project promoter"
176,"Hansa PowerBridge I","New HVDC interconnector between Sweden (SE4) and Germany (50Hertz, Continental) aiming to enhance the integration of the Nordic and the continental power market. Moreover the interconnector facilitates RES integration and increases the system adequacy in both systems.","50Hertz, Svenska kraftnät","DE ;SE","German NEP2037_2045, version 2023, 2nd draft, Germany, 2023, project P221, p. 329-332, https://www.netzentwicklungsplan.de/sites/default/files/2023-06/NEP%20kompakt_2037_2045_V2023_2E_1.pdf; Systemutvecklingsplan 2022-2031, Sweden, 2021, p.141, https://www.svk.se/siteassets/om-oss/rapporter/2021/svk_systemutvecklingsplan_2022-2031.pdf","2029",3,"True","False","New","False",,,"TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","The last version of the German national development plan with the project No. 176 was published in 2023 und is available under the following link: https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_1.pdf
, page 329-332

Svenska kraftnät has published a national development plan in 2021. The purpose of the plan is to be an investment plan for the following ten years, 2022-2031. The investment plan presents a detailed look of the projects Svenska kraftnät intends to realize under the stated time period. The plan is available in Swedish through the following link:
https://www.svk.se/siteassets/om-oss/rapporter/2021/svk_systemutvecklingsplan_2022-2031.pdf (Swedish)",,,"Germany - Sweden - 1400
","Germany - Sweden - 2900 - 
Germany -  - 5000 -10000
","DE00-SE04","700","700","On 13 June 2024, the Swedish government decided to reject Svenska kraftnät's application for a concession for the Hansa PowerBridge 1 project. With this, Svenska kraftnät has ended the project."
187,"St. Peter (AT) - Pleinting (DE)","Increase of the cross border transmission capacity by erecting a new 380kV line between St. Peter (Austria) and Pleinting (Germany). This leads to an improved  connection of the very high amount of RES in Germany and the pump storages in the Austrian Alps.","Austrian Power Grid, TenneT DE","AT ;DE","DE:NEP2037, Germany, v2023 P 112, p. 529 ff; https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_onshore.pdf.; APG Netzentwicklungsplan 2021, AT, 2021, 11-7, 58, https://www.apg.at/de/Stromnetz/Netzentwicklung","2030",3,"True","False","New","True","2.1.4",,"TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","True","This project is highly connected to and partly based on TYNDP 2016 Project 47/Investment 212.

German grid development plan:
https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_onshore.pdf

Austrian National development plan:
http://www.apg.at/en/netz/netzausbau/Netzentwicklungsplan

Austrian Project homepage Austria:
https://www.apg.at/en/projekte/380-kv-deutschland-leitung","Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","helps to reach 15% target in Germany

high RES generation connected to pump storage

high RES generation connected to pump storage

","Austria - Germany - 3100
","Austria - Germany - 3100 - 
Germany -  - 5000 - 10000
Austria -  - <1000
","AT00-DE00","2500","2500",
200,"CZ Northwest-South corridor","A corridor of internal 400 kV overhead lines inside the Czech Republic connecting new 420 kV substations between Vernerov, Vitkov and existing substation Prestice (OHL Prestice - Vitkov was already commissioned in 2021) in the northwest-south direction. The project consists building of two 400 kV overhead lines involving changing a 220 kV double-circuit lines to 400 kV double-circuit lines with a capacity of 2 x 2445 A each between Vernerov and Vitkov and Vitkov and Prestice. Part of the project is also a construction of a new 420 kV substation Vitkov (already commissioned in 2020) and upgrading and extension of the existing 420 kV substation Kocin (phase 1 was already commissioned).","CEPS","CZ","Ten-year investment plan for the development of the TS 2021 – 2030, CZ, 2021, V487/488–Line Doubling, 87 pg., https://www.ceps.cz/en/transmission-system-development","2024",5,"False","True","MostlyNew","True","2.3.1","Project 200 that contains investment item 308 (item 309 was already commissioned) altogether with project 35 that contains investment items 313 and 315 forms a geographically continuous (uninterrupted) network corridor from a new 420 kV substation Vernerov (already commissioned at the end of 2017), through a new 420 kV substation Vitkov (which is also already commissioned at the end of 2020), existing 420 kV substation Prestice, existing 420 kV substation Kocin and ending up to the existing substation 420 kV Mirovka. It is actually what is referred as a “convoy lines” or ""sequential projects"" with all 4 involved 400 kV overhead lines (investment 308 (Vernerov-Vitkov), 309 (Vitkov-Prestice), 315 (Prestice-Kocin) and 313 (Kocin-Mirovka)) connected in series forming a corridor from the northern-western part of the Czech grid related to the DE-CZ border into the south and eastern direction towards the CZ-SK and CZ-AT borders.","TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Information about Czech development plan and PCI projects can be found on the following links below on the CEPS website:

https://www.ceps.cz/en/transmission-system-development

https://www.ceps.cz/en/pci-projects-of-common-interest",,,,,"CZ00-DE00","500","500",
210,"Würmlach (AT) - Somplago (IT) interconnection","Somplago - Würmlach interconnection is a cross-border electrical line promoted by Alpe Adria Energia Srl. The project concerns a 220kV a.c. merchant line, about 300 MW thermal capacity from Somplago substation to new Würmlach substation, including Phase Shifter Transformer located in Austria.","Alpe Adria Energia Srl","AT ;IT","The Austrian NRA, E-Control, issued the NDP 2023 (consultation phase) in which the project is included at page 41, 117, https://pb1-medien.apg.at/im/dl/pboxx-pixelboxx-21991/APGNetzentwicklungsplan2023-Konsultationsversion.pdf. National Development Plan 2023 by Terna, Italy, The Hypergrid project and development requirements page # 50 https://download.terna.it/terna/2023_Hypergrid_project_and_development_requirements_8db79602cedc732.pdf;  Resolution of the Italian ANR - ARERA - with which the Somplago - Würmlach project is considered an integral and priority part of the National Development Plan (Ref. 335/2022/I/EEL - https://www.arera.it/allegati/docs/22/335-22.pdf).","2029",3,"True","False","New","True","2.4",,"TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","Web site: https://corporate.enel.it/en/stories/a/2017/01/alpe-adria-energia","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","The Project will increase the cross-border capacity between the interconnected Countries and will allow market exchanges which lead to a minimising price differentials of the Italian border also in line with the interconnection target recommendations (Nov 2017) by EC Expert Group.

The Project contributes to increase the Italian cross-border capacity in the medium-long term objectives (2030) as also reported in the Italian Implementation Plan for the requirements set in article 20 of Regulation 2019/943 of 5th June 2019 on the Internal Electricity Market (IEM).

The project will enhance the adequacy of the interconnected systems in the mid/long-term scenarios with a different generation mix . In particular, it improves the share of the renewable energy sources and new flexible thermal generation in the electricity systems involved by the line.

This cross border project allows higher flows in the meshed AC-grid and consequentially it allows better integration of RES in the interconnected Countries.

","Austria - Italy - 500
","Austria - Italy - 1000 - 
Italy -  - 1000 - 5000
Austria -  - <1000
","AT00-ITN1","150","150",
219,"Great Sea Interconnector","The Great Sea Interconnector PCI 2.6 is a multi-terminal VSC-HVDC scheme of 1000 MW which will connect the transmission networks of Greece (Crete), Cyprus and Israel, and will comprise two converter stations with sea-electrodes, interconnected by HVDC cable systems. Its total offshore length is 1208 km (310 km CY-IL, 898 km CY–Crete) while its onshore length is 25 km. The cables will be laid at a max. water depth of 2200 m between IL and CY and 3000 m between CY and CR.
The Great Sea Interconnector is a European Project of Common Interest (PCI) since 2013 listed in the ‘NSI East Electricity’ priority corridor. It is defined as a cluster PCI 2.6 on the 1st Union PCI/PMI list (3.10 on the fifth PCI list) consisting of the following PCIs:
•	PCI 2.6.1 – Interconnection Hadera (IL) - Kofinou (CY) 
•	PCI 2.6.2 – Interconnection Kofinou (CY) - Korakia, Crete (EL)
The project will end the energy isolation of Cyprus (the last isolated EU member), ensure security of supply and enable further RES penetration in all countries involved.","IPTO","CY ;GR ;IL","Title of the document: “ΔΕΚΑΕΤΕΣ ΠΡΟΓΡΑΜΜΑ ΑΝΑΠΤΥΞΗΣ ΣΥΣΤΗΜΑΤΟΣ ΜΕΤΑΦΟΡΑΣ 2023-2032” Country: Greece Year: 2023 Page number: 55 TSO: IPTO url: https://www.admie.gr/sites/default/files/users/dssas/DPA%202023-2032/%CE%94%CE%A0%CE%91%202023-2032%20%CE%9A%CF%8D%CF%81%CE%B9%CE%BF%20%CE%A4%CE%B5%CF%8D%CF%87%CE%BF%CF%82.pdf   Title of the document: “ΔΕΚΑΕΤΕΣ ΠΡΟΓΡΑΜΜΑ ΑΝΑΠΤΥΞΗΣ ΣΥΣΤΗΜΑΤΟΣ ΜΕΤΑΦΟΡΑΣ 2023-2032” Country: Cyprus Year: 2023 Page number: 13 TSO: TSOC url: https://tsoc.org.cy/files/electrical-system/tydplan/%CE%94%CE%A0%CE%91%CE%A3%CE%9C%202023-2032web.pdf","2029",4,"True","False","New","True","2.6.1 and 2.6.2","The projects have been clustered for more efficient procedures regarding licencing since it involves three countries","TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","https://www.great-sea-interconnector.com/en","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Infrastructure designed to offer more supply options to isolated areas

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","The project will connect Cyprus to the continental electricity network allowing for energy imports / exports and trading, ensuring security of supply and rendering the wholesale electricity prices lower and more competitive

The project will, end the energy isolation of Cyprus as the last isolated EU member, contribute to the 15% interconnection target of EU members, boost competition, reduce the cost of energy and ensure security of energy supply for the involved countries and the EU

The project will effectively link Cyprus with the continental EU power markets, ending Cyprus’s energy isolation (currently Cyprus is the only Member State that is not interconnected with other European Member) States), enhancing security of supply and reducing the cost of energy

The project will allow the further exploitation of RES potential and limit future curtailments in the countries involved.  Especially for Cyprus, it will enable the realization of ambitious RES penetration targets, creating the conditions for full decarbonisation of the energy system, which is not realistically possible under autonomous operation.

","Cyprus - Greece (Crete) - 1000
Cyprus - Israel - 1000
","Cyprus - Greece (Crete) - 1000 - 
Cyprus - Israel - 1000 - 
Cyprus -  - <1000
","CY00-GR03
CY00-IL00","1000
1000","1000
1000",
225,"2nd interconnector Belgium - Germany","This project considers the possibility of a second HVDC interconnection between Belgium and Germany with a capacity of 1 or 2 GW and a commissioning by 2037 or as soon as possible thereafter. The timing as well as location, routing and capacity are subject to further bilateral studies.
Project motivation:
In the past, various studies have already been carried out at national and European level. The results of those studies so far show that a second interconnector has the potential to create socio-economic welfare for both Belgium and Germany and in extension the entire European network. Furthermore, it facilitates RES integration in as well as CO2 savings. Moreover, an increased cross-border interconnection capacity may allow for a further integration of the domestic electricity sector in the European energy market, thus driving electricity price convergence between European domestic markets.","Amprion, Elia","BE ;DE","NDP1, Belgium, 2024-2034, ID 10, p136; NDP2, Germany, Netzentwicklungsplan 2037 Version 2023, Project 313, p. 641","2037",1,"True","False","New","False",,,"TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","False","More information about the project can be found following this link:
- National Development Plan: https://www.elia.be/-/media/project/elia/elia-site/infra-and-projects/investment-plans/federal-development-plan-2020-2030/nl/20190516_federaal-ontwikkelingsplan_nl.pdf?la=en
The project was part of the previous TYNDP 2020, Link to the Website: https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/225","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","The project increases crossborder capacity between Belgium and Germany.

The project increases crossborder capacity between Belgium and Germany.

The project increases crossborder capacity between Belgium and Germany and as such support the adequacy of both countries.

The project increases crossborder capacity between Belgium and Germany allowing the better integration of renewables.

","Belgium - Luxemburg - 500
Germany - Luxemburg - 400
","Belgium - Luxemburg - 500 - 
Germany - luxemburg - 400 - 
Belgium -  - <1000
Germany -  - 5000 - 10000
","BE00-DE00","2000","2000",
227,"Transbalkan Corridor","The remaining sections of the project contain six investments, with the new corridor spanning from Western Serbia (SS Obrenovac and SS Bajina Basta) all the way to SS Visegrad in Bosnia and Herzegovina and SS Lastva (across SS Pljevlja 2) in Montenegro. As can be seen from the brief list of the investments, the project aims to increase both the transmission capacity within Serbian transmission system and the transfer capacities on the borders between the mentioned countries. Thus, it is expected that it will largely facilitate the energy exchange between the north-east and south-west parts of Europe, setting a foundation for the enhanced market integration and leveling of the marginal energy costs and guaranteeing the security of supply throughout the region. It will also be essential for connecting new PSHPP Bistrica, one of the most important planned flexibility sources in the entire region, to the grid. This project is tightly connected to the project 28 (Italy - Montenegro) and the project 342 (Central Balkan Corridor).","EMS, NOS-BIH, CGES","BA ;ME ;RS","Plan razvoja prenosnog sistema Republike Srbije za period 2021 - 2030 (JSC EMS Development Plan 2021-2030), page 121, available at: https://ems.rs/wp-content/uploads/2022/07/Plan-razvoja-prenosnog-sistema-2.pdf; PREDLOG AŽURIRANOG PLANA RAZVOJA PRENOSNOG SISTEMA 2020-2029 (CGES Development Plan), page 150, available at: https://www.cges.me/regulativa/razvoj-sistema; Indikativni plan razvoja proizvodnje 2024-2033 (NOS BiH), page 56, available at: https://www.nosbih.ba/files/2023/09/20230914-lat-Indikativni-plan-razvoja-proizvodnje-2024-2033.pdf.","2027",3,"True","False","MostlyNew","False",,"These investments will form new HV AC and DC corridor from Serbia, through Montenegro to Italy (with project 28), enhancing energy exchange and further market integration in SEE region.","TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True",,"Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to address system adequacy deficiencies

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","This project significantly aids the energy market integration, set as one of the top priorities of the European grid development, and, as such, massively helps the process of equalizing the marginal energy prices in the EU and non-EU countries, which is particularly relevant for the CSE region.

As the power lines in the Western Serbia are rather old and should be decommissioned due to their age, this project will provide an alternative for them, resolving, among other benefits, the issues related to security of supply, becoming increasingly important with the growth of load in this region.

This project will contribute to the parameters of system stability in two ways - by increasing the NTC values and enabling the larger cross-border energy trades, and by allowing the connection of new PSHPP Bistrica to the grid, foreseen as the large flexibility source in this region.

Even though the impact that this project may have on the connection of RES, the Drina river, located near the foreseen paths of OHLs included in the project, offers significant additional potential for energy generation in hydro capacities, thus amplifying the importance of Transbalkan corridor for this system need.

","Montenegro - Serbia - 840
Bosnia-Herzegovina - Serbia - 2310
","Montenegro - Serbia - 840 - 
Bosnia-Herzegovina - Serbia - 1200 - 
","BA00-RS00
ME00-RS00","1200
240","1200
840",
228,"Muhlbach - Eichstetten","Reinforcement of the existing 400kV OHL and deployment of a second 400kV circuit at existing double circuit OHL Muhlbach - Eichstetten, instead of the currently operated circuit Eichstetten - Vogelgrun (currently operated with 225kV). The project includes also a transformer in Sierentz substation to balance flows between 225kV and 400kV grid in the area. 

Motivation for the project: 
Germany and the Continental Central South-Region is characterised by a significant increase in RES generation. The grid has to be developed in order to support these new exchange possibilities, facilitating the access to the most economic energy mix, while minimising grid congestions. High flows in both directions West-East and North-South are expected. By increasing of interconnection capacity, the project strengthens the European electricity market and contributes to the security of supply.","Rte, TransnetBW","DE ;FR","German NDP: Netzentwicklungsplan Strom 2037/2045 Version 2023, Germany, Project No.176, p.428; https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_1.pdf","12-2027",3,"True","False","Upgrade","False",,,"TYNDP 2014
;TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","German National Development Plan 2037/2045 Version 2023:  https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_1.pdf

French National Development Plan: SDDR (Schéma Décennal de Développement du Réseau -Ten Year Network Development Scheme), 2019, France, project No. 880, page 442, https://www.rte-france.com/en/analyses-trends-and-perspectives/ten-year-network-development-plan#Documents

Bundesbedarfsplan 2021 (Germany): 
https://www.netzausbau.de/Vorhaben/ansicht/de.html?cms_nummer=72&cms_gruppe=bbplg
http://www.gesetze-im-internet.de/bbplg/BJNR254310013BJNE000605377.html

Project specific websites:
TransnetBW: https://www.transnetbw.de/de/netzentwicklung/projekte/eichstetten-bundesgrenze-frankreich/projektueberblick","Infrastructure to reduce price differentials between EU and/or non-EU countries

Reduction of the loop flows occurrence in the borders between CZ-DE, DE-PL,
DE-NL-BE-LU-FR-DE

Infrastructure to address system adequacy deficiencies

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","Although this is not the main driver for this project, increase the interconnectivity between the German and French bidding zone give the possibility of higher market exchanges between these two bidding zones leading to a higher price convergence in more hours of the year.

Flows on 380kV OHL could be adjusted with both PSTs installed in Muhlbach substation rather than current 220kV interconnector.

France and Germany face decreasing figures of installed conventionals due to reduction or phaseout of nuclear and bad market conditions for other conventionals. The interconnector contributes to meet adequacy not only in both countries but also in the entire CWE region.

Rising figures of RES capacities especially in Germany lead to increasing RES-curtailment in the coming decades. This interconnector project allows a higher export in hours of high RES infeed particularly in Western Germany.

",,,"DE00-FR00","300","300",
231,"Beznau - Tiengen","This project comprises the upgrade of a 220 kV crossborder line to 380 kV between the substations of Tiengen (DE) and Beznau (CH).","Amprion, Swissgrid","CH ;DE","NDP Germany, Netzentwicklungsplan 2037 Version 2023, Project P204","2035",2,"True","False","Upgrade","False",,,"TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","False","https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2.pdf

The project was part of the previous TYNDP 2022, Link to the Website: https://tyndp2022-project-platform.azurewebsites.net/projectsheets/transmission/231","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to address system adequacy deficiencies

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

","This project contributes to lowering the price differentials between Switzerland, Germany and Austria.

This project contributes to the adequacy in view of the nuclear phase-out and the development of renewables and pump hydro storage devices.

This project is located in a highly meshed part of the transmission grid and therefore helps accommodate such flows.

","Germany - Switzerland - 1550
","Germany - Switzerland - 1550 - 
Germany -  - 5000 - 10000
Switzerland -  - <1000
","CH00-DE00","100","600",
235,"HVDC SuedLink Brunsbüttel/Wilster to Großgartach/Bergrheinfeld West","4 GW HVDC connection from Northern Germany (areas of Brunsbüttel/Wilster) to Bavaria / Baden-Württemberg (areas of Großgartach/ Bergrheinfeld West). Northern Germany is characterised by a high amount of RES, the feed-in exceeds the local load and therefore there is a high demand for electricity transfer to the load centres in southern parts of Germany. With the further installation of additional renewable energy, the relevance of this project increases.","TransnetBW, Tennet DE","DE","German NDP: Netzentwicklungsplan Strom 2035/2045 Version 2023, Germany, Project No. DC3/DC4, p.440;  https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_1.pdf","2028",3,"False","True","New","True","1.5",,"TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","True","True","German Network Development Plan 2037/2045 Version  2023: 
https://www.netzentwicklungsplan.de/sites/default/files/2023-07/NEP_2037_2045_V2023_2_Entwurf_Teil2_1.pdf
3rd PCI-list: https://ec.europa.eu/energy/sites/ener/files/documents/annex_to_pci_list_final_2017_en.pdf
4th PCI-List: https://ec.europa.eu/energy/sites/ener/files/c_2019_7772_1_annex.pdf
5th PCI-List: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R0564&qid=1663087079030
Bundesbedarfsplan 2021: 
https://www.netzausbau.de/Vorhaben/ansicht/de.html?cms_nummer=3&cms_gruppe=bbplg
http://www.gesetze-im-internet.de/bbplg/BJNR254310013BJNE000605377.html
Project specific websites: 
TransnetBW: https://www.suedlink.com/
TenneT DE: https://www.tennet.eu/de/de/projekte/suedlink
Video: https://www.youtube.com/watch?v=gk8d-K_39uo","Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","In critical grid situations, costly congestion management measures are taken to avoid overload of grid elements. The project will reduce the demand for re-dispatching, countertrading and curtailment of renewable energy producers by adding significant transmission capacity between the congested routes in the North-Western part of Germany

Reducing the redispatch leading to more flexibility and increasing the stability of the system.

The project enables the integration of offshore and onshore wind energy by preventing potential bottlenecks in northern and southern Germany.

",,,"DE00-DKW
DE00-NL00
internalDE00","0
2250
4000","1150
50
4000",
239,"Fenno-Skan 3","Replacement of the existing 400 kV HVDC cable interconnection between Finland and Sweden. Fenno-Skan 1 will be decomissioned and a new interconnector with the capacity of 800 MW will be built between FI and SE3, resulting in a total capacity of 1600 MW between FI and SE3.

Previously (in TYNDP2020) this project was planned between FI and SE2, and now it has been changed to be situated between FI and SE3. According to new studies, this location provides more market benefits. The first decision depended also on the first simulation results that showed the complexities of connection between FI and SE3. However, these complexities were not observed in the updated simulations.

The project is a point-to-point HVDC connection, but could possibly be extended in the future to become a hybrid connection.","Fingrid, Svenska Kraftnät","FI ;SE","Not yet included","2038",1,"True","False","Upgrade","False",,,"TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","False","The concept is discussed for example in Fingrid's Electricity system vision report: https://www.fingrid.fi/globalassets/dokumentit/en/news/electricity-market/2023/fingrid_electricity_system_vision_2023.pdf","Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to tackle a Need identified by one of the European ITEG indicators referring to the 15% interconnection target for 2030:
1. Reduce the price differential between EU countries to below 2EUR/MWh.
2. Contribute to pushing ratio between nominal transmission capacity and installed RES capacity past 30%.
3. Contribute to pushing ratio between nominal transmission capacity and peak load past 30%.

Infrastructure to address system adequacy deficiencies

Improve system flexibility and stability e.g. improve system or local ramp rate, improve transient stability or RoCoF to meet system Needs.

","Adds market capacity 800 MW.

Adds market capacity 800 MW. Contributes to all three interconnection targets.

Improves local power balance and mitigates risk of power failures in Sweden and Finland.

Improves system stability both in Sweden and Finland and Nordic synchronous area.

","Finland - Sweden - 1700
","Finland - Sweden - 2500 - 
","FI00-SE03","400","400",
243,"New 400 kV interconnection line between Serbia and Croatia","Construction of new 400 kV interconnection line SS Sombor 3 (RS) - SS Ernestinovo (HR), expected to provide a significant asset in terms of increasing the NTC between Serbia and Croatia, hence allowing the more prominent energy flow in the East-West direction across the CSE region, improving the market integration among the beneficiary countries and further ensuring the security of supply primarily in Serbia and Croatia, but, under certain circumstances, contributing to the reliable functioning of the systems in the rest of the countries in the region as well. Alongside that, it should be mentioned that the project will have a rather positive impact related to the possibility of integration of renewable energy sources in the Backa region.","EMS, HOPS","HR ;RS","Plan razvoja prenosnog sistema Republike Srbije za period 2021 - 2030 (Serbian national TYNDP 2021-2030), page 150 - available at: https://ems.rs/wp-content/uploads/2022/07/Plan-razvoja-prenosnog-sistema-2.pdf; Desetogodišnji plan razvoja prijenosne mreže 2022-2031(Croatian NDP 2022-2031), page 80 - avalable at: http://hops.hr/page-file/bsAQ9AhqCaU33Auv0GyGe5/92136ad3-dfa8-4674-b6aa-3c7a0d41654c/HOPS%2010G%20plan%20razvoja%202022%20-%202031%20web.pdf","2038",1,"True","False","New","False",,"There is only one investment, so there are no clustering issues.","TYNDP 2016
;TYNDP 2018
;TYNDP 2020
;TYNDP 2022
;TYNDP 2024
","False","True",,"Infrastructure to reduce price differentials between EU and/or non-EU countries

Infrastructure to facilitate and accommodate future scenarios, cross-border flows or loop flows.

Infrastructure and/or market design to provide balancing flexibility (e.g. international pooling / sharing of reserves, coordinated development of reserve capacity)

Infrastructure designed to enable cost-efficient grid connection of high volumes of RES and/or reduce RES curtailment

","Since this interconnection means the increase of NTC between Croatia (EU country) and Serbia (non-EU country), it is seen by promoters as a mean of reaching the defined market integration goals and consequently reducing the price differentials in the Continental Southeast Europe area.

As nearly all of the scenarios foreseen for the future period predict rather high energy flow across almost all borders in the CSE region, each of the new interconnections in this area can be seen as an additional step towards vouching for the timely reaching of the set goal.

In the conditions of ever higher needs for the intensive cooperation between the neighboring TSOs, every new interconnection, such as the one included in this project, can be seen as the new and valuable asset that will aid in the improvement of systems' flexibility and reliability of operation.

According to the currently available information, the Bačka region in Northern Serbia is predicted to host several wind power plants of sustainable installed capacity (exceeding 1 GW), with new line between SS Sombor 3 and SS Ernestinovo ensuring the uninterrupted and secure evacuation of the produced energy.

","Croatia - Serbia - 1600
","Croatia - Serbia - 1600 - 
Croatia -  - <1000
","HR00-RS00","746","306",
